patient_id,first_name,last_name,national_id,gender,age,city,province,visit_reason,department
5001,Fatemeh,Rezai,8967067461,Female,39,Shiraz,Fars,Road Traffic Accident (Trauma),Emergency/Orthopedics
5002,Mehdi,Karimi,1445226911,Male,71,Tehran,Tehran,Infertility Consultation,Gynecology/IVF
5003,Ali,Ghasemi,0482421606,Male,45,Shiraz,Fars,Acute Appendicitis,General Surgery
5004,Zahra,Rezai,6332510137,Female,30,Mashhad,Razavi Khorasan,Hypertension Crisis,Internal Medicine
5005,Mohammad,Moradi,1409476901,Male,56,Tehran,Tehran,Acute Appendicitis,General Surgery
5006,Farhad,Rezai,6311473763,Male,27,Mashhad,Razavi Khorasan,Kidney Stones (Renal Colic),Urology
5007,Fatemeh,Ghasemi,1685626122,Female,8,Mashhad,Razavi Khorasan,Pneumonia,Infectious Diseases
5008,Farhad,Hosseini,9291288039,Male,51,Isfahan,Isfahan,Asthma / Respiratory Distress,Pulmonology
5009,Mehdi,Ahmadi,6146748706,Male,23,Mashhad,Razavi Khorasan,Road Traffic Accident (Trauma),Emergency/Orthopedics
5010,Amir,Hosseini,5990471610,Male,37,Mashhad,Razavi Khorasan,Pneumonia,Infectious Diseases
5011,Sara,Hashemi,1497974119,Female,15,Shiraz,Fars,Kidney Stones (Renal Colic),Urology
5012,Ali,Hashemi,1729240879,Male,81,Isfahan,Isfahan,Rhinoplasty (Elective),ENT / Plastic Surgery
5013,Mehdi,Moradi,9148335029,Male,51,Shiraz,Fars,Hypertension Crisis,Internal Medicine
5014,Maryam,Rezai,7057459890,Female,21,Mashhad,Razavi Khorasan,Pneumonia,Infectious Diseases
5015,Farhad,Hosseini,8232484391,Male,36,Mashhad,Razavi Khorasan,Type 2 Diabetes Follow-up,Endocrinology
5016,Elnaz,Karimi,5320327986,Female,23,Isfahan,Isfahan,Acute Appendicitis,General Surgery
5017,Sepideh,Karimi,8204523475,Female,87,Tehran,Tehran,Hypertension Crisis,Internal Medicine
5018,Reza,Moradi,8529214021,Male,72,Tehran,Tehran,Rhinoplasty (Elective),ENT / Plastic Surgery
5019,Mina,Hashemi,4044954046,Female,87,Isfahan,Isfahan,Hypertension Crisis,Internal Medicine
5020,Sepideh,Moradi,2808295030,Female,37,Mashhad,Razavi Khorasan,Pneumonia,Infectious Diseases
5021,Narges,Karimi,4879244384,Female,25,Shiraz,Fars,Kidney Stones (Renal Colic),Urology
5022,Elnaz,Ahmadi,0228885752,Female,26,Isfahan,Isfahan,Gastroenteritis,Internal Medicine
5023,Mohammad,Karimi,6016893382,Male,67,Tehran,Tehran,Asthma / Respiratory Distress,Pulmonology
5024,Mina,Hashemi,4871271463,Female,33,Tehran,Tehran,Infertility Consultation,Gynecology/IVF
5025,Ali,Ghasemi,7851359783,Male,43,Mashhad,Razavi Khorasan,Pneumonia,Infectious Diseases
